iter	Logloss
149	0.6087365394
150	0.6082328431
151	0.6077741107
152	0.6073648007
153	0.6068674426
154	0.606510297
155	0.6060550553
156	0.6056599255
157	0.6051234279
158	0.604576426
159	0.6040709753
160	0.6035371538
161	0.6029893267
162	0.6025013764
163	0.6019672801
164	0.6014960184
165	0.6012172383
166	0.6007426488
167	0.6002449897
168	0.5998066357
169	0.5992881688
170	0.5987614041
171	0.5982161955
172	0.5977600244
173	0.5972649158
174	0.5968283686
175	0.5963257732
176	0.5959476063
177	0.5955090415
178	0.5949892333
179	0.5946107988
180	0.5940878312
181	0.5936538831
182	0.5931851292
183	0.5927613907
184	0.5922411124
185	0.591813342
186	0.5912757776
187	0.5908663754
188	0.5903629739
189	0.5898655392
190	0.5894493706
191	0.5890246862
192	0.5885350717
193	0.5880254004
194	0.5875345384
195	0.5870252284
196	0.5865210373
197	0.586122415
198	0.5857304281
199	0.5853156005
200	0.5848550347
201	0.5845628642
202	0.5841212603
203	0.5836900931
204	0.5832099704
205	0.5828483823
206	0.5824238477
207	0.5819347301
208	0.5814906834
209	0.5810768373
210	0.5806025512
211	0.580295717
212	0.5798021251
213	0.5794482252
214	0.5790194311
215	0.5786049444
216	0.5782166605
217	0.5777495271
218	0.577255678
219	0.5768304715
220	0.5765157819
221	0.5761611677
222	0.5757864775
223	0.5753187686
224	0.5749165394
225	0.5746434754
226	0.5741711477
227	0.5737296663
228	0.5734989912
229	0.5731343327
230	0.5727423151
231	0.5722677389
232	0.5718882745
233	0.5714416473
234	0.571039819
235	0.5706692081
236	0.5703008489
237	0.5698713111
238	0.5695469712
239	0.5691625633
240	0.5686683316
241	0.5682693369
242	0.5678902051
243	0.5674551935
244	0.5669959277
245	0.5667336674
246	0.5663706816
247	0.5659878171
248	0.56554767
249	0.5651298081
250	0.5647203831
251	0.5642675146
252	0.5639378925
253	0.5635353154
254	0.563073747
255	0.5627096304
256	0.5623764261
257	0.5620916327
258	0.5617460994
259	0.5614089895
260	0.5612085351
261	0.5608116227
262	0.5605284476
263	0.5601475167
264	0.5597394006
265	0.559470064
266	0.5591177136
267	0.5586333368
268	0.5582165736
269	0.5578332588
270	0.5574238252
271	0.5571035963
272	0.5568724876
273	0.5566076506
274	0.5562581165
275	0.5559801104
276	0.5556528338
277	0.555270076
278	0.5548330675
279	0.5544436713
280	0.5541855549
281	0.5539949723
282	0.5536784207
283	0.5532599653
284	0.5529342219
285	0.5525538796
286	0.5521624402
287	0.5518032461
288	0.5514616497
289	0.5511110834
290	0.5507363993
291	0.550310837
292	0.5498984994
293	0.5494682723
294	0.5491366951
295	0.5487253644
296	0.5483323848
297	0.5480558041
298	0.5477684223
299	0.5474420086
300	0.5471021499
301	0.5468039434
302	0.5464820381
303	0.546134886
304	0.5457499029
305	0.5453666094
306	0.5450169665
307	0.544656945
308	0.5444267463
309	0.5441949482
310	0.5438291198
311	0.5435668892
312	0.5431820341
313	0.5429355224
314	0.5426856663
315	0.5423447984
316	0.5420325005
317	0.5416732935
318	0.5413316339
319	0.5409989638
320	0.5407128837
321	0.5403919021
322	0.5399883237
323	0.5396371926
324	0.5394356812
325	0.5391731201
326	0.5388757419
327	0.5386222827
328	0.5383890585
329	0.5380347734
330	0.5377702206
331	0.5374630461
332	0.5371452237
333	0.5368956275
334	0.536551596
335	0.5362055672
336	0.5358972821
337	0.5355815292
338	0.535246354
339	0.5349282324
340	0.5345709199
341	0.5342339859
342	0.5339795429
343	0.5336729652
344	0.5334906202
345	0.5333146891
346	0.5329732763
347	0.5325446775
348	0.5322778099
349	0.532007654
350	0.5316908148
351	0.5313537635
352	0.5310759076
353	0.5307526254
354	0.5303812603
355	0.5301303277
356	0.5298616122
357	0.5296234345
358	0.5293268147
359	0.5289976407
360	0.5286491773
361	0.5283769303
362	0.5281141637
363	0.5277933874
364	0.5276006539
365	0.5273358791
366	0.5270214267
367	0.5266830553
368	0.5263910852
369	0.5260646488
370	0.5257521696
371	0.5254965763
372	0.5251491863
373	0.5249276027
374	0.5246062589
375	0.5243770144
376	0.5241248984
377	0.5238745519
378	0.5236172982
379	0.523349722
380	0.5230997777
381	0.5227965675
382	0.5224725478
383	0.5221980451
384	0.5218704882
385	0.521599903
386	0.5213025421
387	0.5209706698
388	0.5205970352
389	0.5203085803
390	0.5200585581
391	0.5198335575
392	0.5194811412
393	0.5191653502
394	0.5188635232
395	0.5185587455
396	0.5182656719
397	0.5179951972
398	0.5177058999
399	0.5173858666
400	0.5170655838
401	0.5167386888
402	0.516486108
403	0.5161949362
404	0.5159230806
405	0.5156889901
406	0.515447653
407	0.5151982021
408	0.5149131336
409	0.5146697458
410	0.5144082813
411	0.5140969692
412	0.5138196906
413	0.5135566621
414	0.5132645597
415	0.5129568563
416	0.5125883527
417	0.5123501392
418	0.5120801811
419	0.5117523367
420	0.5114116922
421	0.5110712852
422	0.5108027378
423	0.5105241495
424	0.5102050091
425	0.5099217667
426	0.5097883954
427	0.5095127539
428	0.5092551793
429	0.5089959943
430	0.5087517815
431	0.5085036441
432	0.508262877
433	0.5079895159
434	0.5077124799
435	0.5074063357
436	0.507123137
437	0.5068648363
438	0.5065643995
439	0.5063335591
440	0.5061030475
441	0.505889887
442	0.5056363863
443	0.5053973315
444	0.5051835019
445	0.5049535999
446	0.5048068353
447	0.5045936456
448	0.5044016217
449	0.5041803259
450	0.5039158266
451	0.5037471199
452	0.5034168857
453	0.5031107721
454	0.5029490261
455	0.5027009365
456	0.5024523192
457	0.5022117862
458	0.5019930397
459	0.5017235276
460	0.501481499
461	0.5011984889
462	0.5009861135
463	0.5007891701
464	0.500547466
465	0.5002296842
466	0.4999944798
467	0.499700471
468	0.499466962
469	0.4991839089
470	0.4989972229
471	0.4987305153
472	0.4984644872
473	0.4982063919
474	0.4979221207
475	0.497631962
476	0.4973865071
477	0.4971454823
478	0.4968735969
479	0.4967447054
480	0.4964657135
481	0.4962130446
482	0.4960001631
483	0.4957564801
484	0.4955365429
485	0.4953009648
486	0.4951105223
487	0.4948819558
488	0.4946737305
489	0.4944192533
490	0.4941410968
491	0.4938574986
492	0.4936287454
493	0.4933856625
494	0.4931145522
495	0.492929337
496	0.4927015154
497	0.4925820824
498	0.4923570219
499	0.4921891689
500	0.4920012234
501	0.4918127806
502	0.4916176531
503	0.4914056607
504	0.4911672974
505	0.4909012236
506	0.490696598
507	0.4904556275
508	0.4901728075
509	0.4899464622
510	0.4896924444
511	0.4894538936
512	0.4892901347
513	0.4890388498
514	0.4887912298
515	0.4886028253
516	0.4883528095
517	0.4881854827
518	0.4879704212
519	0.4877454353
520	0.4874799352
521	0.4872484942
522	0.4870059744
523	0.4867915065
524	0.4865722569
525	0.4863322723
526	0.4861500526
527	0.4859752408
528	0.4857635468
529	0.4856297886
530	0.485408411
531	0.4852209333
532	0.4850278077
533	0.4848078196
534	0.4845817673
535	0.4843678611
536	0.4841689899
537	0.4839022101
538	0.4837042054
539	0.4834790983
540	0.4833251444
541	0.4830851841
542	0.4828735559
543	0.4826142415
544	0.4823216939
545	0.482168405
546	0.4820434041
547	0.4818231813
548	0.4816235374
549	0.4813850245
550	0.4812016997
551	0.480978028
552	0.4807777363
553	0.4805521852
554	0.480324231
555	0.4800802044
556	0.4798595004
557	0.4796514197
558	0.4793697998
559	0.47923903
560	0.4790313365
561	0.478809895
562	0.4786280547
563	0.4784223735
564	0.4782050926
565	0.4780237897
566	0.4778735966
567	0.4775765442
568	0.4774489497
569	0.4772216371
570	0.4770407881
571	0.4769335956
572	0.4767385363
573	0.4766384012
574	0.476466591
575	0.4762406935
576	0.4760805644
577	0.4758793068
578	0.4756852331
579	0.4754440334
580	0.4752798567
581	0.4751330904
582	0.4749520602
583	0.474740014
584	0.4745585121
585	0.4743915028
586	0.4741591063
587	0.4740635642
588	0.4738853866
589	0.4736366231
590	0.4734280217
591	0.4732401566
592	0.4730356624
593	0.4727978379
594	0.4726517388
595	0.4724165177
596	0.4722652644
597	0.4720512898
598	0.4719162511
599	0.4716713404
600	0.4714479195
601	0.4712837959
602	0.4711012562
603	0.4709411153
604	0.4707207062
605	0.470552084
606	0.4704105776
607	0.4702415954
608	0.4700699966
609	0.4698288223
610	0.4696179468
611	0.4693807309
612	0.469207398
613	0.4690086687
614	0.4688063465
615	0.4686059165
616	0.4684219176
617	0.468317219
618	0.4680783826
619	0.4679854191
620	0.4678634653
621	0.4676224712
622	0.46742296
623	0.4672616622
624	0.4671228007
625	0.4669124299
626	0.4667371253
627	0.4665426907
628	0.4663842769
629	0.4661636151
630	0.4659377701
631	0.4657582438
632	0.4656303428
633	0.4654928624
634	0.4653103921
635	0.4651731659
636	0.4650532403
637	0.464857872
638	0.4646326178
639	0.4644795001
640	0.4643595425
641	0.4641491925
642	0.4639491741
643	0.4637787332
644	0.4635648064
645	0.4633609033
646	0.4631379216
647	0.4629322087
648	0.4627441252
649	0.462557683
650	0.4624379655
651	0.4623131598
652	0.4621599462
653	0.4620015234
654	0.4618230858
655	0.4616551622
656	0.4614975475
657	0.4612737193
658	0.4611124006
659	0.4609019447
660	0.4607160961
661	0.4605625943
662	0.4603924245
663	0.4602935048
664	0.4601042813
665	0.4599778515
666	0.4598311413
667	0.4596910773
668	0.4595367103
669	0.4593226781
670	0.4591991347
671	0.4590705229
672	0.4589713293
673	0.458803488
674	0.458642673
675	0.4584372776
676	0.4582346913
677	0.4581016609
678	0.4579494442
679	0.4577892559
680	0.4576605016
681	0.4574933739
682	0.4573131952
683	0.4571415869
684	0.4569633279
685	0.4568462872
686	0.4566555818
687	0.4565282634
688	0.4563827109
689	0.4562222921
690	0.456097653
691	0.4559044373
692	0.4557640452
693	0.455622503
694	0.4554768977
695	0.4552672682
696	0.4550752354
697	0.4549393833
698	0.4547884975
699	0.454607019
